id,section_id,name,time_start,time_end,day,created_at,updated_at
192,75,CG,21:15,22:05,M-W----,"0000-00-00 00:00:00","0000-00-00 00:00:00"
193,76,CE,21:15,22:05,M-W----,"0000-00-00 00:00:00","0000-00-00 00:00:00"
194,76,CF,21:15,22:05,M-W----,"0000-00-00 00:00:00","0000-00-00 00:00:00"
195,76,CG,21:15,22:05,M-W----,"0000-00-00 00:00:00","0000-00-00 00:00:00"
196,77,RA,11:45,12:35,M------,"0000-00-00 00:00:00","0000-00-00 00:00:00"
197,77,RB,10:15,11:05,M------,"0000-00-00 00:00:00","0000-00-00 00:00:00"
198,78,SA,13:15,14:05,-T-----,"0000-00-00 00:00:00","0000-00-00 00:00:00"
199,78,SB,13:15,14:05,---J---,"0000-00-00 00:00:00","0000-00-00 00:00:00"
200,79,FA,17:45,18:35,-T-----,"0000-00-00 00:00:00","0000-00-00 00:00:00"
201,79,FB,17:45,18:35,--W----,"0000-00-00 00:00:00","0000-00-00 00:00:00"
202,80,TA,10:15,11:05,----F--,"0000-00-00 00:00:00","0000-00-00 00:00:00"
203,80,TB,10:15,11:05,----F--,"0000-00-00 00:00:00","0000-00-00 00:00:00"
204,81,WA,08:45,09:35,--W----,"0000-00-00 00:00:00","0000-00-00 00:00:00"
205,81,WB,08:45,09:35,----F--,"0000-00-00 00:00:00","0000-00-00 00:00:00"
206,82,UA,14:45,15:35,----F--,"0000-00-00 00:00:00","0000-00-00 00:00:00"
207,82,UB,14:45,15:35,M------,"0000-00-00 00:00:00","0000-00-00 00:00:00"
208,83,AE,21:10,22:00,-T-J---,"0000-00-00 00:00:00","0000-00-00 00:00:00"
209,83,AF,17:30,18:20,-T-J---,"0000-00-00 00:00:00","0000-00-00 00:00:00"
210,84,CE,21:10,22:00,-T-J---,"0000-00-00 00:00:00","0000-00-00 00:00:00"
211,84,CF,21:10,22:00,-T-J---,"0000-00-00 00:00:00","0000-00-00 00:00:00"
212,85,FA,14:15,15:05,----F--,"0000-00-00 00:00:00","0000-00-00 00:00:00"
213,85,FB,16:15,17:05,----F--,"0000-00-00 00:00:00","0000-00-00 00:00:00"
214,86,MA,15:15,16:05,----F--,"0000-00-00 00:00:00","0000-00-00 00:00:00"
215,86,MB,15:15,16:05,----F--,"0000-00-00 00:00:00","0000-00-00 00:00:00"
216,86,MC,15:15,16:05,----F--,"0000-00-00 00:00:00","0000-00-00 00:00:00"
217,87,SA,14:15,15:05,----F--,"0000-00-00 00:00:00","0000-00-00 00:00:00"
218,87,SB,16:15,17:05,----F--,"0000-00-00 00:00:00","0000-00-00 00:00:00"
219,88,VA,11:45,12:35,----F--,"0000-00-00 00:00:00","0000-00-00 00:00:00"
220,88,VB,13:15,14:05,----F--,"0000-00-00 00:00:00","0000-00-00 00:00:00"
221,89,XA,13:15,14:05,----F--,"0000-00-00 00:00:00","0000-00-00 00:00:00"
222,89,XB,15:15,16:05,----F--,"0000-00-00 00:00:00","0000-00-00 00:00:00"
223,90,UA,20:30,21:20,---J---,"0000-00-00 00:00:00","0000-00-00 00:00:00"
